,Account_ID,Date,Transaction_details,Chq_no,Value_date,Withdrawal_amt,Withdrawal_currency,Deposit_amt,Deposit_currency,Balance_amt
8120,91090,2025-06-27,Section wall wonder service rise.,,24-01-2023,0.0,EUR,0.0,,59284.32
11489,63462,2025-06-27,Room war care.,,28-02-2024,864.43,SGD,0.0,GBP,46058.83
22388,11442,2025-06-27,Themselves spring than college while.,,09-06-2021,890.31,SGD,24.49,INR,50767.56
27250,37296,2025-06-27,Later PM language one sit.,,23-10-2021,0.0,,0.0,,50047.69
28868,61550,2025-06-27,Especially resource agreement often community air.,,01-02-2023,0.0,,512.08,EUR,38497.35
32180,14210,2025-06-27,Actually should stop national.,405210.0,15-11-2024,791.08,GBP,0.0,,74474.66
33440,32237,2025-06-27,Six watch data cost know.,,28-07-2021,0.0,SGD,0.0,,10843.38
40689,74622,2025-06-27,Worker provide body.,,06-11-2022,0.0,,370.12,GBP,64958.47
41292,82415,2025-06-27,Over direction cultural first usually.,488160.0,22-05-2022,0.0,SGD,0.0,,10416.17
41943,98557,2025-06-27,Whose arrive with administration.,487809.0,26-07-2020,533.38,SGD,0.0,EUR,11549.36
43975,98515,2025-06-27,Pressure mother herself collection arm start.,,13-08-2023,0.0,USD,0.0,,43631.84
47018,51116,2025-06-27,Few yet reduce trouble.,,02-02-2025,0.0,,0.0,,82968.67
54023,97412,2025-06-27,Measure book break voice never new.,,23-03-2023,0.0,EUR,0.0,INR,15431.01
54797,66866,2025-06-27,Tree close such teach.,,22-10-2022,855.24,EUR,0.0,,21746.32
54841,23005,2025-06-27,Price phone really would agree.,,03-07-2024,97.83,SGD,0.0,,82312.72
56600,95725,2025-06-27,We wish day black know.,,25-07-2021,787.83,SGD,0.0,,93072.72
58561,68732,2025-06-27,Kitchen great issue.,188666.0,22-11-2021,0.0,,783.1,USD,2824.61
60153,66926,2025-06-27,Have official thus never window close even.,,05-10-2025,0.0,USD,0.0,,94803.23
61263,54875,2025-06-27,Simply product quite fine.,,29-08-2023,824.29,GBP,0.0,,35274.7
62780,15694,2025-06-27,Understand professional institution marriage lawyer.,,24-09-2024,0.0,INR,0.0,EUR,57949.24
69986,79907,2025-06-27,Manage wind upon.,525977.0,29-10-2023,0.0,,0.0,USD,77260.17
72829,64123,2025-06-27,Maintain young nature behind.,,17-03-2025,0.0,,0.0,SGD,50349.62
75125,44764,2025-06-27,Fine often card thing.,389037.0,04-04-2021,0.0,,0.0,USD,21274.71
87063,78041,2025-06-27,Sign admit rock share interest development.,,29-01-2021,0.0,,999.85,INR,37668.28
101142,85239,2025-06-27,Success view ten four lay.,,25-02-2021,0.0,SGD,0.0,,31036.62
108000,25710,2025-06-27,Pressure economy medical center.,506917.0,01-06-2020,0.0,,850.43,SGD,76821.97
112524,90476,2025-06-27,Hold friend under nothing financial growth.,,02-02-2023,0.0,SGD,0.0,INR,63187.39
114142,87553,2025-06-27,Wide line approach example team.,,29-05-2022,848.18,GBP,0.0,EUR,13176.37
116265,72471,2025-06-27,Despite environmental stuff husband.,,07-08-2022,0.0,USD,144.72,GBP,21258.28
116378,71186,2025-06-27,Project bag former.,,07-01-2020,647.47,USD,560.74,SGD,10476.16
118014,96685,2025-06-27,Light mind more high go.,,21-07-2025,0.0,GBP,0.0,,79343.71
120477,84720,2025-06-27,Director consumer way.,,25-03-2020,0.0,,0.0,USD,11251.67
124984,35258,2025-06-27,Success pick down.,,29-06-2025,129.98,EUR,0.0,INR,69426.55
130874,80447,2025-06-27,Thing point tend man process between.,493120.0,02-11-2024,0.0,EUR,0.0,,34903.97
131822,68318,2025-06-27,Final than get.,,12-10-2022,0.0,USD,0.0,,12588.53
138952,93007,2025-06-27,Stand police prove letter two stay.,358315.0,25-05-2025,0.0,,0.0,USD,58899.73
140688,16805,2025-06-27,Degree change a development per indeed.,559752.0,13-08-2022,426.65,SGD,0.0,,32768.19
143740,61322,2025-06-27,Shake through from house.,,05-04-2022,682.71,EUR,0.0,,82962.57
149063,60880,2025-06-27,Enjoy work huge.,,14-01-2023,461.68,USD,0.0,,8384.15
149400,88479,2025-06-27,Crime lose Congress step.,,15-04-2020,0.0,SGD,0.0,,80656.44
156027,35040,2025-06-27,Anything benefit open.,,02-10-2022,890.17,INR,0.0,,26342.52
156497,83863,2025-06-27,Nothing economy today already point be.,,29-09-2022,0.0,INR,0.0,,42580.86
159979,69841,2025-06-27,Might site cut.,672194.0,15-02-2025,0.0,,833.32,SGD,19184.78
163387,29691,2025-06-27,Dinner environment exactly sell.,,04-04-2025,0.0,SGD,0.0,GBP,74115.14
164807,54664,2025-06-27,Head able month Congress nice spend.,,19-08-2025,937.81,EUR,0.0,INR,15143.75
172536,49231,2025-06-27,Local summer debate Mrs service.,,07-11-2025,573.22,SGD,97.17,EUR,25397.01
175797,47614,2025-06-27,Or young ability despite role.,,29-10-2022,0.0,,758.06,SGD,27287.86
177642,64762,2025-06-27,Media college drop story.,,29-01-2022,0.0,,0.0,,74877.54
184307,14637,2025-06-27,Recent result nature time.,354169.0,16-04-2020,0.0,,0.0,,54588.28
189593,36735,2025-06-27,Both his source question indicate bit.,,27-05-2025,0.0,USD,0.0,EUR,55660.48
