Account_ID,Date,Transaction_details,Chq_no,Value_date,Withdrawal_amt,Withdrawal_currency,Deposit_amt,Deposit_currency,Balance_amt
ACC0032,2023-01-01,Sense boy present create century.,6240036,2023-01-01,0.0,,4459.63,EUR,56048.29
ACC0029,2023-01-01,Might treat number near day.,7181092,2023-01-01,0.0,,2384.48,JPY,52326.02
ACC0011,2023-01-01,Continue act woman own.,7834020,2023-01-01,2690.07,EUR,0.0,,78626.5
ACC0040,2023-01-01,Hotel charge professor sort major social suddenly.,3415573,2023-01-01,4498.96,GBP,0.0,,70978.61
ACC0034,2023-01-01,Tree same loss wear.,7455387,2023-01-01,3549.5,USD,0.0,,32030.86
ACC0030,2023-01-01,Change let food own.,4253003,2023-01-01,1457.03,INR,0.0,,80290.77
ACC0036,2023-01-02,Indeed he question buy teach better.,,2023-01-02,3119.16,GBP,0.0,,43395.15
ACC0044,2023-01-02,Write institution item bed.,,2023-01-02,0.0,,3917.74,USD,69021.57
ACC0022,2023-01-02,To strategy our account nearly per.,9244466,2023-01-02,4787.29,USD,0.0,,5968.54
ACC0037,2023-01-02,Lot include hospital.,1480002,2023-01-02,2618.55,INR,0.0,,38759.79
ACC0049,2023-01-02,Place pick black debate.,,2023-01-02,837.62,USD,0.0,,37345.38
ACC0015,2023-01-02,Agent build agency nothing reflect.,7394759,2023-01-02,4244.77,EUR,0.0,,96281.25
ACC0012,2023-01-02,Relate such yet scientist.,,2023-01-02,2389.38,INR,0.0,,33110.12
ACC0038,2023-01-02,Maybe ball detail.,9860237,2023-01-02,3206.2,GBP,0.0,,19387.87
ACC0007,2023-01-02,Painting imagine issue six knowledge opportunity.,1578953,2023-01-02,2636.92,GBP,0.0,,16709.88
ACC0017,2023-01-02,Lot technology administration.,,2023-01-02,4158.94,SGD,0.0,,58683.17
ACC0031,2023-01-03,Food lawyer discuss model plant tend.,1944423,2023-01-03,4656.92,USD,0.0,,30138.53
ACC0034,2023-01-03,Figure not box picture need scientist.,,2023-01-03,1269.42,EUR,0.0,,70140.88
ACC0050,2023-01-03,Since right risk six letter put theory.,,2023-01-03,0.0,,2261.69,INR,50167.85
ACC0046,2023-01-03,Song century push month deep.,,2023-01-03,3211.85,USD,0.0,,80701.18
ACC0031,2023-01-03,Two small former attention.,,2023-01-03,0.0,,3765.3,SGD,58853.78
ACC0016,2023-01-03,Nearly police finally billion agree.,,2023-01-03,0.0,,3492.22,SGD,18370.22
ACC0029,2023-01-03,Common catch small whom some attention line.,,2023-01-03,0.0,,898.83,EUR,60389.42
ACC0019,2023-01-03,Beat phone fact course wrong seven.,0344562,2023-01-03,2155.04,EUR,0.0,,62177.9
ACC0005,2023-01-03,Way prepare morning allow approach final try.,7602478,2023-01-03,0.0,,2259.09,JPY,9109.61
ACC0006,2023-01-03,Trouble real why sound century.,,2023-01-03,260.34,GBP,0.0,,33819.3
ACC0035,2023-01-04,Fast whole truth discuss science office.,,2023-01-04,203.4,EUR,0.0,,19752.57
ACC0018,2023-01-04,Offer through protect cut.,2558626,2023-01-04,4157.39,GBP,0.0,,90626.1
ACC0039,2023-01-04,White type field politics.,,2023-01-04,816.99,USD,0.0,,55512.95
ACC0036,2023-01-04,List quality TV room first subject.,5364337,2023-01-04,0.0,,2605.02,USD,5608.89
ACC0040,2023-01-04,Moment them center Republican.,,2023-01-04,2467.87,SGD,0.0,,27096.4
ACC0050,2023-01-04,Boy lose force court recently.,,2023-01-04,0.0,,4441.52,GBP,47619.11
ACC0030,2023-01-04,Alone week power development consumer your.,0694199,2023-01-04,2377.36,JPY,0.0,,58925.3
ACC0027,2023-01-04,Question sport least drive.,7206144,2023-01-04,0.0,,3048.03,SGD,59388.98
ACC0010,2023-01-04,Tax direction despite use lose bed.,,2023-01-04,0.0,,3952.68,SGD,9240.11
ACC0042,2023-01-05,Decision affect whom.,,2023-01-05,2221.2,JPY,0.0,,84620.87
ACC0002,2023-01-05,Teacher rate value few.,,2023-01-05,3125.98,JPY,0.0,,91611.26
ACC0038,2023-01-05,Part morning it them Mrs employee.,,2023-01-05,0.0,,4502.49,GBP,86179.89
ACC0027,2023-01-05,Trip bed two cover eye.,,2023-01-05,0.0,,2599.93,INR,12005.73
ACC0020,2023-01-05,Do blue statement sense citizen provide remember military.,,2023-01-05,3773.38,JPY,0.0,,60330.59
ACC0003,2023-01-05,From dinner total cover their sort.,,2023-01-05,2501.73,GBP,0.0,,93536.76
ACC0040,2023-01-05,Order family tonight we whether take.,5886707,2023-01-05,3032.43,EUR,0.0,,13598.19
ACC0006,2023-01-05,Business wall add another model notice.,4793081,2023-01-05,2600.58,EUR,0.0,,48949.36
ACC0045,2023-01-06,Human while audience phone city.,0818705,2023-01-06,0.0,,1249.61,EUR,70364.09
ACC0038,2023-01-06,Carry behind if rock weight set.,6510638,2023-01-06,2656.76,JPY,0.0,,39608.64
ACC0011,2023-01-06,Share population man daughter.,6178911,2023-01-06,0.0,,1976.11,EUR,35229.8
ACC0046,2023-01-06,Rise world prevent there no reflect spend eat.,,2023-01-06,0.0,,592.46,JPY,66573.51
ACC0025,2023-01-06,Daughter president government.,4994029,2023-01-06,0.0,,3674.91,INR,51620.33
ACC0023,2023-01-06,Reveal debate news student structure fear.,,2023-01-06,0.0,,1494.87,SGD,91187.63
ACC0020,2023-01-06,Support soon national provide.,,2023-01-06,963.91,SGD,0.0,,23438.38
ACC0044,2023-01-06,Alone put ground.,2468369,2023-01-06,0.0,,3015.33,SGD,61248.42
ACC0039,2023-01-06,Lawyer dinner support nothing people.,3989007,2023-01-06,4551.43,GBP,0.0,,80591.2
ACC0049,2023-01-07,Shake animal lose probably purpose vote.,6624929,2023-01-07,0.0,,2520.14,EUR,32557.12
ACC0046,2023-01-07,Stand course company organization special church material whole.,,2023-01-07,3238.59,JPY,0.0,,26568.35
ACC0021,2023-01-07,Of office traditional oil.,,2023-01-07,3312.13,USD,0.0,,66906.89
ACC0036,2023-01-07,Against foreign issue available.,,2023-01-07,0.0,,4874.71,EUR,71894.48
ACC0049,2023-01-07,Physical college industry late what.,6603495,2023-01-07,0.0,,2606.49,SGD,93283.98
ACC0048,2023-01-07,Perform difference with me treatment less another.,,2023-01-07,0.0,,727.23,INR,52248.97
ACC0035,2023-01-07,Page understand effort watch free outside page.,8156773,2023-01-07,0.0,,2149.54,JPY,18000.04
ACC0045,2023-01-07,Level growth area writer even everything.,9542340,2023-01-07,0.0,,4443.41,JPY,14308.62
ACC0036,2023-01-07,Thousand approach table bit.,3028089,2023-01-07,0.0,,1377.92,EUR,67381.99
ACC0048,2023-01-08,Suddenly age law which toward.,9794388,2023-01-08,0.0,,1598.84,INR,25013.98
ACC0035,2023-01-08,Might Democrat left us probably start choice.,5513549,2023-01-08,0.0,,1791.12,GBP,68799.86
ACC0004,2023-01-08,Republican however situation life east soon activity.,2028266,2023-01-08,0.0,,4598.32,USD,7478.4
ACC0011,2023-01-08,Scientist other and agreement.,7570317,2023-01-08,4541.94,EUR,0.0,,63939.04
ACC0011,2023-01-08,Almost itself artist see per this.,,2023-01-08,0.0,,4874.41,GBP,65322.45
ACC0032,2023-01-08,Try week look huge again but woman.,2370368,2023-01-08,3689.82,USD,0.0,,44230.51
ACC0025,2023-01-08,Ahead more fund.,6407464,2023-01-08,0.0,,381.55,INR,8765.74
ACC0023,2023-01-08,Painting until each suggest guess leg site war.,2125018,2023-01-08,0.0,,4613.18,SGD,89151.52
ACC0023,2023-01-08,Man enter daughter democratic do fine.,,2023-01-08,0.0,,2921.54,EUR,12282.3
ACC0009,2023-01-08,Professional cold thus explain last north daughter.,0221351,2023-01-08,0.0,,1799.78,USD,29517.38
ACC0013,2023-01-09,Line our election fill we.,,2023-01-09,0.0,,189.19,INR,91970.48
ACC0021,2023-01-09,Charge southern one century great trouble.,3611621,2023-01-09,862.55,JPY,0.0,,44376.29
ACC0023,2023-01-09,Along agree field accept room service garden.,,2023-01-09,1473.04,JPY,0.0,,50470.42
ACC0035,2023-01-09,Piece doctor rich certain opportunity nor.,0114553,2023-01-09,0.0,,4809.35,JPY,85245.36
ACC0029,2023-01-09,Personal offer degree difficult government customer.,1635117,2023-01-09,3880.27,USD,0.0,,69297.45
ACC0009,2023-01-09,Above break ok against.,6099955,2023-01-09,4000.68,EUR,0.0,,10601.58
ACC0020,2023-01-09,Recently international south miss difference modern door.,9898733,2023-01-09,2024.56,EUR,0.0,,96547.61
ACC0004,2023-01-09,Matter friend west cost study call inside.,8255499,2023-01-09,0.0,,198.65,SGD,33182.99
ACC0011,2023-01-09,Debate science prevent yet these student become.,0612041,2023-01-09,4447.42,GBP,0.0,,82027.99
ACC0035,2023-01-09,Even president him kitchen brother her side.,9041668,2023-01-09,2628.04,EUR,0.0,,17687.93
ACC0017,2023-01-10,List join mention behavior design.,,2023-01-10,0.0,,1131.69,EUR,80873.5
ACC0015,2023-01-10,Quality other anyone fact play work.,,2023-01-10,0.0,,2733.45,USD,17279.29
ACC0001,2023-01-10,Fear ability fine color capital interest hard.,,2023-01-10,4934.0,SGD,0.0,,19953.64
ACC0048,2023-01-10,Sometimes myself gas high him begin let nothing.,4222313,2023-01-10,0.0,,4392.09,JPY,61633.18
ACC0032,2023-01-10,Open relate song third million.,,2023-01-10,0.0,,2074.55,USD,8936.96
ACC0001,2023-01-11,Whose office employee pick.,,2023-01-11,0.0,,2929.24,USD,75970.16
ACC0022,2023-01-11,Our real we on practice fine.,,2023-01-11,0.0,,875.73,EUR,79164.81
ACC0005,2023-01-11,So management skill fast.,,2023-01-11,0.0,,1959.73,USD,13384.7
ACC0043,2023-01-11,Business process place room.,,2023-01-11,1341.4,INR,0.0,,5065.81
ACC0031,2023-01-11,Research myself if dream.,,2023-01-11,2580.8,GBP,0.0,,77587.86
ACC0016,2023-01-11,Study chair pass without image suddenly memory effort.,,2023-01-11,0.0,,1653.91,INR,61536.14
ACC0026,2023-01-11,You government wear.,,2023-01-11,0.0,,367.95,USD,78483.48
ACC0017,2023-01-11,American maybe myself organization.,,2023-01-11,3025.67,GBP,0.0,,60479.15
ACC0016,2023-01-11,Picture voice than building second.,0924582,2023-01-11,0.0,,4043.32,SGD,39294.87
ACC0047,2023-01-12,Week attention start market.,6601996,2023-01-12,3087.91,GBP,0.0,,91091.18
ACC0017,2023-01-12,Model establish son best more several.,8606170,2023-01-12,0.0,,3197.92,EUR,53719.11
ACC0038,2023-01-12,Painting themselves water.,,2023-01-12,3884.23,GBP,0.0,,32729.28
ACC0007,2023-01-12,Into speak way throughout truth.,9206331,2023-01-12,0.0,,2205.46,GBP,33617.74
ACC0042,2023-01-12,Performance consumer window.,1323306,2023-01-12,588.08,SGD,0.0,,36205.51
ACC0022,2023-01-13,Size finally guy.,,2023-01-13,2790.17,EUR,0.0,,49069.54
ACC0037,2023-01-13,Back own every decide value how success.,8212605,2023-01-13,475.06,GBP,0.0,,49527.88
ACC0008,2023-01-13,Interview edge any well hair education record everyone.,5695474,2023-01-13,0.0,,1184.06,JPY,16577.54
ACC0047,2023-01-13,Foreign eye senior couple church just toward.,7890166,2023-01-13,1569.33,SGD,0.0,,94575.95
ACC0031,2023-01-13,Involve focus leg rather serve mention ago specific.,,2023-01-13,631.06,GBP,0.0,,64013.78
ACC0002,2023-01-13,Year research effort far list avoid.,,2023-01-13,0.0,,4916.32,USD,33754.58
ACC0038,2023-01-13,Morning mention arrive ball reality heavy.,5205685,2023-01-13,0.0,,4828.76,EUR,87557.06
ACC0006,2023-01-14,Employee forget similar hold during.,,2023-01-14,2379.39,SGD,0.0,,26153.84
ACC0040,2023-01-14,Individual practice series discover coach able partner.,,2023-01-14,3826.21,USD,0.0,,96853.46
ACC0026,2023-01-14,Personal tax weight above face.,6910639,2023-01-14,1140.32,SGD,0.0,,66426.7
ACC0022,2023-01-14,Throw population employee exactly listen dog.,,2023-01-14,725.81,SGD,0.0,,78330.08
ACC0002,2023-01-14,Medical ball page.,,2023-01-14,0.0,,4996.81,SGD,78599.74
ACC0002,2023-01-14,Position floor bag.,1953996,2023-01-14,0.0,,1381.58,USD,49797.39
ACC0037,2023-01-14,Short future section wrong with room.,,2023-01-14,3467.55,EUR,0.0,,89289.93
ACC0013,2023-01-14,Student expert break improve remain.,,2023-01-14,0.0,,4470.54,JPY,65735.66
ACC0024,2023-01-14,Hand to effort until politics.,0393379,2023-01-14,4976.62,EUR,0.0,,52612.91
ACC0021,2023-01-15,Popular between until next.,2949351,2023-01-15,0.0,,4036.38,USD,35313.8
ACC0026,2023-01-15,Black ok learn picture military project way.,0151379,2023-01-15,0.0,,2746.27,SGD,15126.96
ACC0017,2023-01-15,Second opportunity oil national back.,,2023-01-15,4746.34,EUR,0.0,,69228.37
ACC0012,2023-01-15,Article artist ago mean when.,6623333,2023-01-15,2714.21,SGD,0.0,,82085.67
ACC0004,2023-01-15,Value black support.,,2023-01-15,0.0,,4575.46,GBP,95962.5
ACC0011,2023-01-15,A become effort tax cut detail.,,2023-01-15,4370.11,INR,0.0,,77412.25
ACC0023,2023-01-15,Difficult the become cut.,7717069,2023-01-15,0.0,,4146.33,INR,74191.17
ACC0043,2023-01-15,Management lose get.,,2023-01-15,0.0,,4548.51,GBP,64530.94
ACC0008,2023-01-15,Hundred own baby including generation arm remain.,,2023-01-15,0.0,,427.0,SGD,83993.43
ACC0038,2023-01-16,Possible indicate condition PM.,4948065,2023-01-16,2239.39,EUR,0.0,,66175.13
ACC0004,2023-01-16,Product shake early executive manage.,1733073,2023-01-16,0.0,,2492.95,GBP,89080.48
ACC0023,2023-01-16,Join couple total.,6818920,2023-01-16,1024.77,USD,0.0,,98901.98
ACC0010,2023-01-16,Country say early everyone popular sort.,,2023-01-16,2106.11,SGD,0.0,,83473.43
ACC0016,2023-01-16,Fly mention world resource could oil.,1408151,2023-01-16,0.0,,4021.32,INR,25382.23
ACC0015,2023-01-16,Month million very type.,,2023-01-16,0.0,,4610.18,SGD,11972.8
ACC0034,2023-01-17,Moment board high become.,1367287,2023-01-17,1647.96,USD,0.0,,44108.07
ACC0046,2023-01-17,Yeah air want likely interview discuss view.,9438570,2023-01-17,0.0,,873.72,GBP,86434.66
ACC0010,2023-01-17,Model center enjoy miss senior exist.,4735292,2023-01-17,0.0,,4470.97,USD,90874.61
ACC0004,2023-01-17,Indeed fire bag between concern.,,2023-01-17,0.0,,742.85,INR,48217.28
ACC0049,2023-01-17,Member speak above gas.,0763292,2023-01-17,0.0,,4280.39,SGD,64220.94
ACC0038,2023-01-17,Agreement project cold pretty society.,,2023-01-17,0.0,,2415.39,INR,17961.93
ACC0019,2023-01-18,Theory cell improve.,1502793,2023-01-18,3701.56,GBP,0.0,,84203.04
ACC0028,2023-01-18,Group issue threat wide bed actually.,,2023-01-18,0.0,,1113.38,JPY,16089.33
ACC0027,2023-01-18,Up future grow leg send although able degree.,2833019,2023-01-18,0.0,,1179.45,INR,21418.46
ACC0015,2023-01-18,System space culture.,,2023-01-18,854.95,INR,0.0,,63189.86
ACC0032,2023-01-18,Throw game significant bag music give.,3225013,2023-01-18,0.0,,1881.38,GBP,45723.68
ACC0042,2023-01-18,Economic them water goal.,,2023-01-18,1585.3,SGD,0.0,,64937.63
ACC0021,2023-01-19,Have commercial life while.,,2023-01-19,0.0,,3843.4,GBP,96963.94
ACC0029,2023-01-19,Decade city plant goal until most assume.,2391291,2023-01-19,2551.37,GBP,0.0,,55361.51
ACC0025,2023-01-19,Vote project away.,0728558,2023-01-19,0.0,,3576.22,USD,27456.52
ACC0042,2023-01-19,Myself education community Congress administration manager prove.,1732193,2023-01-19,4482.02,USD,0.0,,79199.58
ACC0035,2023-01-19,Course note I possible member.,4886403,2023-01-19,3481.65,GBP,0.0,,92546.25
ACC0035,2023-01-19,Sister miss religious TV yet work.,,2023-01-19,0.0,,4675.64,SGD,20090.89
ACC0018,2023-01-19,Senior weight little kind character.,2516571,2023-01-19,4345.53,EUR,0.0,,31328.7
ACC0048,2023-01-19,Public network animal their instead.,,2023-01-19,4020.01,EUR,0.0,,79934.05
ACC0022,2023-01-20,As hotel particular shoulder cover.,,2023-01-20,3139.54,EUR,0.0,,47227.81
