Account_ID,Date,Transaction_details,Chq_no,Value_date,Withdrawal_amt,Withdrawal_currency,Deposit_amt,Deposit_currency,Balance_amt
ACC00005,01-01-2023,Utility Bill,,01-01-2023,210.15,USD,227.95,INR,1677.39
ACC00039,01-01-2023,Salary Credit,,01-01-2023,568.01,INR,639.75,JPY,1636.74
ACC00035,01-01-2023,POS Purchase,,01-01-2023,9.89,EUR,896.63,INR,4504.73
ACC00025,01-01-2023,Online Transfer,,01-01-2023,774.99,SGD,649.18,SGD,4186.58
ACC00012,01-01-2023,ATM Withdrawal,,01-01-2023,510.01,SGD,347.41,JPY,3070.79
ACC00039,01-01-2023,ATM Withdrawal,,01-01-2023,824.04,EUR,348.95,INR,4807.23
ACC00049,01-01-2023,ATM Withdrawal,,01-01-2023,399.96,JPY,69.59,EUR,2690.53
ACC00034,01-01-2023,ATM Withdrawal,,01-01-2023,251.73,EUR,237.84,JPY,2357.88
ACC00033,02-01-2023,ATM Withdrawal,,02-01-2023,235.43,JPY,982.22,EUR,2828.61
ACC00040,02-01-2023,ATM Withdrawal,,02-01-2023,355.67,USD,672.71,EUR,4937.07
ACC00044,02-01-2023,Utility Bill,,02-01-2023,445.67,INR,963.67,INR,2876.56
ACC00022,02-01-2023,Online Transfer,,02-01-2023,993.22,EUR,687.18,USD,4272.82
ACC00016,02-01-2023,Online Transfer,,02-01-2023,357.22,USD,700.63,INR,3682.53
ACC00050,02-01-2023,Online Transfer,,02-01-2023,13.81,USD,388.92,SGD,3588.31
ACC00028,02-01-2023,POS Purchase,,02-01-2023,471.39,JPY,528.26,USD,1662.92
ACC00001,03-01-2023,ATM Withdrawal,,03-01-2023,990.45,SGD,757.46,INR,3941.24
ACC00034,03-01-2023,Online Transfer,,03-01-2023,859.69,USD,102.19,SGD,1679.77
ACC00013,03-01-2023,Salary Credit,,03-01-2023,410.74,JPY,769.7,INR,1686.73
ACC00009,03-01-2023,Utility Bill,,03-01-2023,15.19,INR,406.44,USD,4541.7
ACC00036,03-01-2023,Online Transfer,,03-01-2023,357.43,JPY,68.23,SGD,2489.82
ACC00044,03-01-2023,Salary Credit,,03-01-2023,323.68,JPY,701.26,EUR,2629.93
ACC00009,03-01-2023,Utility Bill,,03-01-2023,615.34,EUR,403.49,EUR,2341.2
ACC00005,03-01-2023,ATM Withdrawal,,03-01-2023,756.2,EUR,635.67,EUR,3718.23
ACC00009,04-01-2023,Utility Bill,,04-01-2023,553.9,SGD,407.89,JPY,4120.9
ACC00002,04-01-2023,Salary Credit,,04-01-2023,398.37,INR,280.07,EUR,4200.61
ACC00025,04-01-2023,ATM Withdrawal,,04-01-2023,123.65,JPY,582.3,INR,2076.45
ACC00001,04-01-2023,Salary Credit,,04-01-2023,72.29,USD,678.72,SGD,4493.17
ACC00027,04-01-2023,Salary Credit,,04-01-2023,668.38,INR,725.34,SGD,4130.05
ACC00022,05-01-2023,Utility Bill,,05-01-2023,882.6,EUR,235.35,EUR,2489.59
ACC00033,05-01-2023,Salary Credit,,05-01-2023,567.41,INR,124.88,JPY,1362.55
ACC00035,05-01-2023,POS Purchase,,05-01-2023,84.39,EUR,423.45,EUR,4356.03
ACC00010,05-01-2023,Online Transfer,,05-01-2023,590.73,JPY,822.17,EUR,4557.51
ACC00021,06-01-2023,Salary Credit,,06-01-2023,713.44,SGD,877.17,INR,2362.6
ACC00004,06-01-2023,ATM Withdrawal,,06-01-2023,960.49,JPY,710.01,EUR,2274.18
ACC00050,06-01-2023,Utility Bill,,06-01-2023,121.64,USD,494.83,EUR,2376.12
ACC00047,06-01-2023,Utility Bill,,06-01-2023,337.3,EUR,991.87,EUR,4932.05
ACC00011,07-01-2023,Online Transfer,,07-01-2023,381.16,EUR,430.75,INR,4910.5
ACC00041,07-01-2023,Online Transfer,,07-01-2023,148.23,USD,784.1,JPY,1778.15
ACC00003,07-01-2023,ATM Withdrawal,,07-01-2023,594.57,INR,598.33,INR,1746.57
ACC00022,08-01-2023,POS Purchase,,08-01-2023,211.63,SGD,416.91,USD,4046.54
ACC00011,08-01-2023,POS Purchase,,08-01-2023,32.75,SGD,430.64,USD,3315.28
ACC00043,08-01-2023,POS Purchase,,08-01-2023,30.39,SGD,695.7,SGD,4267.45
ACC00029,09-01-2023,ATM Withdrawal,,09-01-2023,122.92,JPY,577.75,USD,2538.5
ACC00038,09-01-2023,ATM Withdrawal,,09-01-2023,989.04,SGD,369.99,USD,1264.4
ACC00017,09-01-2023,Utility Bill,,09-01-2023,269.39,USD,976.24,USD,1586.33
ACC00050,10-01-2023,Utility Bill,,10-01-2023,930.95,EUR,143.27,INR,2029.38
ACC00015,10-01-2023,Salary Credit,,10-01-2023,799.86,EUR,425.54,USD,4972.38
ACC00016,10-01-2023,Salary Credit,,10-01-2023,353.43,SGD,612.15,USD,1750.4
ACC00049,10-01-2023,ATM Withdrawal,,10-01-2023,828.49,EUR,395.98,SGD,2470.97
ACC00008,10-01-2023,Salary Credit,,10-01-2023,516.69,EUR,168.85,JPY,2828.1
ACC00038,10-01-2023,ATM Withdrawal,,10-01-2023,300.04,EUR,918.2,EUR,2381.93
ACC00017,10-01-2023,Salary Credit,,10-01-2023,827.68,USD,861,USD,2855.88
ACC00049,11-01-2023,Online Transfer,,11-01-2023,253.67,USD,516.88,JPY,3444.73
ACC00040,11-01-2023,POS Purchase,,11-01-2023,910.37,EUR,8.46,INR,3111.28
ACC00002,11-01-2023,Utility Bill,,11-01-2023,840.14,SGD,843.28,EUR,1625.51
ACC00042,11-01-2023,ATM Withdrawal,,11-01-2023,983.43,SGD,179.8,JPY,3873.08
ACC00028,11-01-2023,Online Transfer,,11-01-2023,367.86,SGD,254.92,USD,1013.55
ACC00034,11-01-2023,ATM Withdrawal,,11-01-2023,821.53,USD,399.45,USD,1191.58
ACC00004,11-01-2023,ATM Withdrawal,,11-01-2023,432.5,USD,440.72,SGD,1548.01
ACC00040,11-01-2023,Online Transfer,,11-01-2023,38.25,SGD,420.3,JPY,2864.65
ACC00027,12-01-2023,POS Purchase,,12-01-2023,68.18,SGD,273.78,INR,3443.98
ACC00016,12-01-2023,Salary Credit,,12-01-2023,789.1,USD,573.69,EUR,4584.23
ACC00046,12-01-2023,Online Transfer,,12-01-2023,518.95,JPY,616.11,USD,3449.57
ACC00018,12-01-2023,Salary Credit,,12-01-2023,832.69,JPY,30.01,INR,2875.73
ACC00018,13-01-2023,ATM Withdrawal,,13-01-2023,120.88,SGD,561.89,JPY,1496.88
ACC00018,13-01-2023,Online Transfer,,13-01-2023,991.38,JPY,18.83,USD,3531.74
ACC00006,13-01-2023,ATM Withdrawal,,13-01-2023,734.67,EUR,224.55,INR,2902.01
ACC00038,13-01-2023,Online Transfer,,13-01-2023,79.14,SGD,317.67,INR,4702.28
ACC00020,14-01-2023,Online Transfer,,14-01-2023,858.66,JPY,518.46,EUR,3538.18
ACC00041,14-01-2023,Online Transfer,,14-01-2023,376.09,JPY,865.24,SGD,3263.76
ACC00011,14-01-2023,POS Purchase,,14-01-2023,523.38,SGD,382.64,EUR,2503.63
ACC00025,14-01-2023,ATM Withdrawal,,14-01-2023,316.99,EUR,22.05,SGD,3537.33
